listing_id,date
3597187,2014-11-09
228073,2012-02-07
228073,2012-06-26
228073,2012-08-02
3597187,2015-03-01
3597187,2015-03-16
3597187,2015-03-29
3597187,2015-04-01
3597187,2015-04-08
3597187,2015-04-12
3597187,2015-04-14
3597187,2015-04-17
3597187,2015-04-26
3597187,2015-05-17
3597187,2015-05-20
3597187,2015-05-24
5271996,2016-01-05
5271996,2016-01-11
3597187,2015-05-31
3597187,2015-06-12
3597187,2015-06-15
3597187,2015-06-17
3597187,2015-06-21
3597187,2015-07-01
3597187,2015-07-12
3597187,2015-07-23
5271996,2016-08-29
5271996,2016-09-19
5271996,2016-10-01
5271996,2016-11-02
5271996,2016-11-05
5271996,2016-11-19
5271996,2017-02-19
5271996,2017-03-03
5271996,2017-06-11
5271996,2017-07-17
5271996,2017-08-13
5271996,2017-09-30
5271996,2017-10-08
5271996,2017-11-06
5271996,2017-11-19
425004,2012-05-28
425004,2012-11-05
425004,2012-11-19
3597187,2015-07-26
3597187,2015-08-02
3597187,2015-08-05
425004,2012-12-04
425004,2012-12-09
425004,2012-12-26
425004,2012-12-27
425004,2012-12-31
425004,2013-01-10
425004,2013-01-15
425004,2013-01-22
425004,2013-01-29
425004,2013-02-20
425004,2013-03-04
425004,2013-03-12
425004,2013-04-02
425004,2013-04-08
425004,2013-08-13
3597187,2015-08-09
3597187,2015-08-14
3597187,2015-08-18
3597187,2015-08-23
3597187,2015-08-29
3597187,2015-09-21
425004,2013-10-07
425004,2013-10-21
425004,2013-11-04
425004,2013-11-25
425004,2013-12-17
425004,2014-01-01
425004,2014-01-22
425004,2014-01-28
425004,2014-02-04
425004,2014-02-10
425004,2014-03-23
5271996,2018-01-19
5271996,2018-01-22
5271996,2018-01-27
5271996,2018-02-18
5271996,2018-03-04
5271996,2018-03-11
5271996,2018-04-01
5271996,2018-11-17
3597187,2015-09-25
3597187,2015-10-04
3597187,2015-10-26
3597187,2015-11-01
3597187,2015-11-04
3597187,2015-11-08
5271996,2018-11-24
5271996,2018-11-30
5271996,2018-12-01
5271996,2018-12-20
5271996,2019-01-03
5271996,2019-01-12
5271996,2019-01-20
5271996,2019-01-27
5271996,2019-02-16
5271996,2019-04-01
5271996,2019-04-11
5271996,2019-04-14
5271996,2019-04-17
5271996,2019-06-06
5271996,2019-06-10
5271996,2019-08-15
5271996,2019-10-03
5271996,2019-11-04
5271996,2019-11-21
5271996,2019-12-07
425004,2014-03-31
425004,2014-04-26
425004,2014-07-15
425004,2014-07-21
425004,2014-09-08
425004,2014-10-06
425004,2014-10-13
3597187,2015-11-15
3597187,2015-11-18
3597187,2015-12-04
3597187,2015-12-13
3597187,2015-12-21
3597187,2016-01-05
3597187,2016-01-06
425004,2014-11-04
425004,2014-11-10
425004,2014-11-17
425004,2014-11-25
425004,2014-12-01
5271996,2020-01-03
5271996,2020-01-13
5271996,2020-02-14
5271996,2020-02-20
5271996,2020-06-14
5271996,2020-11-13
5271996,2020-11-16
5271996,2020-11-21
5271996,2020-11-30
5271996,2020-12-05
5271996,2021-02-05
5271996,2021-02-27
5271996,2021-03-08
5271996,2021-03-17
5271996,2021-03-20
5271996,2021-04-14
5271996,2021-05-08
5271996,2021-07-09
5271996,2021-08-02
5271996,2021-10-03
5271996,2021-10-23
3597187,2016-01-23
3597187,2016-01-25
3597187,2016-02-07
3597187,2016-02-16
3597187,2016-02-28
5271996,2021-11-01
5271996,2021-11-13
5271996,2021-11-24
5271996,2021-11-27
5271996,2021-12-04
5271996,2022-01-08
5271996,2022-02-06
5271996,2022-02-12
5271996,2022-03-10
5271996,2022-05-11
5271996,2022-06-05
5271996,2022-07-03
5271996,2022-08-06
5271996,2022-10-16
5271996,2022-11-12
5271996,2022-12-04
5271996,2023-02-11
5271996,2023-02-18
5271996,2023-02-26
5271996,2023-03-26
5271996,2023-04-27
5307527,2017-06-12
5307527,2017-10-16
