id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
50711628,Townhouse in Clayton · 4 bedrooms · 4 beds · 2 baths,235574374,Amanda,,Monash,-37.90439,145.12754,Entire home/apt,370,3,1,2022-04-25,0.07,5,348,0,,Melbourne
50732801,Serviced apartment in Melbourne · ★4.40 · 2 bedrooms · 2 beds · 1 bath,310343216,Kylee,,Melbourne,-37.81378,144.95099,Entire home/apt,149,1,45,2023-05-22,2.00,24,307,30,,Melbourne
50957420,Guesthouse in Selby · ★4.93 · 1 bedroom · 2 beds · 1 bath,339172,Anthony,,Yarra Ranges,-37.92506,145.36909,Entire home/apt,146,2,43,2023-05-06,2.37,1,62,24,,Melbourne
50733022,Serviced apartment in Melbourne · 3 bedrooms · 3 beds · 1 bath,310343216,Kylee,,Melbourne,-37.81433,144.95107,Entire home/apt,214,1,0,,,24,205,0,,Melbourne
50733139,Serviced apartment in Melbourne · 2 bedrooms · 3 beds · 1 bath,310343216,Kylee,,Melbourne,-37.81447,144.95211,Entire home/apt,157,1,1,2022-04-29,0.07,24,339,0,,Melbourne
50733355,Serviced apartment in Melbourne · 1 bedroom · 1 bed · 1 bath,310343216,Kylee,,Melbourne,-37.8139,144.95068,Entire home/apt,131,1,1,2021-07-03,0.04,24,350,0,,Melbourne
50978076,Condo in North Melbourne · ★4.75 · 1 bedroom · 1 bed · 1 bath,54896966,Lyn,,Melbourne,-37.79432,144.94864,Entire home/apt,65,28,4,2022-07-31,0.23,2,0,2,,Melbourne
50733668,Serviced apartment in Melbourne · ★4.70 · Studio · 1 bed · 1 bath,310343216,Kylee,,Melbourne,-37.81413,144.95095,Entire home/apt,105,1,10,2023-05-14,0.43,24,170,3,,Melbourne
50978411,Condo in Docklands · 2 bedrooms · 3 beds · 2 baths,200909382,Steve And Janet,,Melbourne,-37.82014,144.94057,Entire home/apt,455,2,2,2022-03-23,0.09,41,344,0,,Melbourne
50734724,Condo in Melbourne · ★4.46 · 2 bedrooms · 4 beds · 1 bath,409228497,Samantha,,Melbourne,-37.81567,144.952988,Entire home/apt,208,1,84,2023-05-17,3.62,9,221,36,,Melbourne
50736167,Home in Lalor · ★4.17 · 3 bedrooms · 4 beds · 2.5 baths,153104898,Ying,,Whittlesea,-37.67119,145.02313,Entire home/apt,200,14,6,2023-02-12,0.41,1,89,4,,Melbourne
50978629,Rental unit in Elwood · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,84188751,Lara,,Port Phillip,-37.87818,144.97872,Entire home/apt,183,3,27,2023-05-07,1.20,8,112,15,,Melbourne
50737980,Rental unit in Hawthorn · ★4.33 · 1 bedroom · 1 bed · 1 bath,67533786,Tricia,,Boroondara,-37.8257,145.04519,Entire home/apt,105,2,36,2023-06-02,1.55,63,166,17,,Melbourne
51294814,Rental unit in Elwood · 2 bedrooms · 3 beds · 1 bath,3721646,Alex,,Port Phillip,-37.87218,144.9816,Entire home/apt,307,21,2,2023-02-28,0.21,42,250,2,,Melbourne
50978807,Rental unit in Docklands · 2 bedrooms · 3 beds · 2 baths,200909382,Steve And Janet,,Melbourne,-37.82014,144.94212,Entire home/apt,455,3,1,2023-03-05,0.32,41,319,1,,Melbourne
51311209,Cottage in Warburton · ★4.92 · 2 bedrooms · 2 beds · 1 bath,22820738,Leanne,,Yarra Ranges,-37.74634,145.67765,Entire home/apt,135,2,113,2023-05-29,5.78,5,31,60,,Melbourne
50984519,Rental unit in Elsternwick · ★4.61 · 1 bedroom · 1 bed · 1 bath,295897756,Adele,,Glen Eira,-37.89352,145.01198,Entire home/apt,106,3,54,2023-06-02,2.82,1,290,32,,Melbourne
51313081,Rental unit in Balaclava · ★4.81 · 1 bedroom · 2 beds · 1 bath,133494514,Levi,,Port Phillip,-37.87232,144.99699,Entire home/apt,115,2,58,2023-06-04,2.60,28,332,36,,Melbourne
50985024,Rental unit in Elwood · ★4.95 · 2 bedrooms · 2 beds · 1 bath,166520602,Pearl,,Port Phillip,-37.88342,144.97901,Entire home/apt,240,3,58,2023-04-30,2.52,1,331,33,,Melbourne
51318364,Guesthouse in Altona · ★4.90 · 1 bedroom · 1 shared bath,220707152,Mony,,Hobsons Bay,-37.86829,144.81074,Private room,85,1,10,2022-10-23,0.62,1,66,4,,Melbourne
50986933,Villa in Olinda · ★4.95 · 4 bedrooms · 5 beds · 2 baths,31638700,Amy,,Yarra Ranges,-37.87434,145.36711,Entire home/apt,700,2,22,2023-04-10,1.14,1,53,7,,Melbourne
51318740,Rental unit in South Melbourne · ★4.35 · 1 bedroom · 1 bed · 1 bath,393990420,Houst,,Port Phillip,-37.83134,144.95083,Entire home/apt,98,2,31,2023-05-13,1.57,16,328,16,,Melbourne
50999867,Rental unit in Port Melbourne · ★4.96 · 1 bedroom · 2 beds · 1 bath,13795278,Siobhan,,Port Phillip,-37.840012,144.937363,Entire home/apt,122,2,57,2023-04-28,3.06,5,282,38,,Melbourne
51001881,Home in Hoppers Crossing · 2 bedrooms · 2 beds · 2 baths,156246965,Ruby,,Wyndham,-37.87092,144.69083,Private room,90,1,0,,,1,358,0,,Melbourne
51025022,Rental unit in Melbourne · ★4.42 · 2 bedrooms · 2 beds · 1 bath,412803321,Fresh Onn,,Melbourne,-37.80812,144.96193,Entire home/apt,132,2,33,2023-05-29,1.46,75,55,21,,Melbourne
51333420,Rental unit in Melbourne · ★4.81 · 2 bedrooms · 2 beds · 1 bath,10627633,Arlene,,Melbourne,-37.81299,144.9565,Entire home/apt,195,2,32,2023-05-23,1.74,1,136,21,,Melbourne
51346033,Rental unit in Box Hill · ★4.20 · 2 bedrooms · 3 beds · 1 bath,284364084,LaMaison,,Whitehorse,-37.81938,145.1243,Entire home/apt,168,1,49,2023-04-26,2.21,8,341,26,,Melbourne
51346411,Serviced apartment in St Kilda · ★4.42 · 2 bedrooms · 2 beds · 1 bath,48014108,Amazing,,Port Phillip,-37.85854,144.98333,Entire home/apt,160,2,24,2023-05-14,1.12,5,360,14,,Melbourne
51354079,Rental unit in South Yarra · ★4.55 · 3 bedrooms · 3 beds · 1 bath,58397311,Ari,,Stonnington,-37.838501,144.999283,Entire home/apt,258,2,71,2023-05-08,3.33,1,176,41,,Melbourne
51355198,Guest suite in Kallista · ★4.86 · 3 bedrooms · 3 beds · 1 shared bath,55976837,Zoey,,Yarra Ranges,-37.88196,145.37976,Private room,274,2,36,2023-04-23,1.62,1,361,18,,Melbourne
51027742,Guest suite in Warburton · ★4.71 · 1 bedroom · 1 bed · 1 private bath,59080076,Anne,,Yarra Ranges,-37.75363,145.69427,Private room,206,2,21,2023-05-21,1.06,3,350,2,,Melbourne
51368081,Cottage in Olinda · ★4.96 · 3 bedrooms · 4 beds · 2 baths,416054159,Carl,,Yarra Ranges,-37.85461,145.36736,Entire home/apt,290,365,128,2023-06-03,6.81,1,303,81,,Melbourne
51028227,Hotel in Carlton · ★4.29 · 1 bedroom · 1 bed · 1 bath,405696533,Essence Hotel,,Melbourne,-37.80474,144.96182,Private room,106,7,109,2023-05-24,4.99,2,85,55,,Melbourne
51380515,Rental unit in Glen Waverley · ★4.78 · 2 bedrooms · 2 beds · 2 shared baths,284364084,LaMaison,,Monash,-37.87832,145.16584,Shared room,336,1,18,2023-05-14,0.81,8,318,9,,Melbourne
51383352,Home in Emerald · ★5.0 · 3 bedrooms · 5 beds · 1 bath,91910374,Pan & Magdalena,,Cardinia,-37.91945,145.44699,Entire home/apt,239,2,3,2022-09-02,0.14,2,0,2,,Melbourne
51028242,Guesthouse in Warburton · 1 bedroom · 1 bed · 1 bath,278045463,Meriam,,Yarra Ranges,-37.75692367553711,145.69869995117188,Entire home/apt,179,1,1,2023-06-04,1,4,89,1,,Melbourne
51396672,Serviced apartment in Heidelberg · ★4.56 · 2 bedrooms · 3 beds · 1 bath,16266564,Leigh,,Banyule,-37.75592,145.05731,Entire home/apt,260,1,9,2023-05-14,0.42,5,89,3,,Melbourne
51028246,Hotel in Carlton · ★4.55 · 1 bedroom · 2 beds · 1 bath,405696533,Essence Hotel,,Melbourne,-37.80523,144.96227,Private room,125,7,22,2022-08-03,1.20,2,0,5,,Melbourne
51399097,Rental unit in Docklands · 1 bedroom · 1 bed · 1 bath,140421118,Danny,,Melbourne,-37.81464,144.9418,Entire home/apt,170,4,0,,,13,90,0,,Melbourne
51047475,Bed and breakfast in South Morang · 1 bedroom · 1 bed · 1.5 shared baths,318932671,Evangelea,,Whittlesea,-37.62683,145.06786,Private room,110,1,0,,,1,365,0,,Melbourne
