id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
5021790,Home in Mount Martha · ★4.51 · 3 bedrooms · 4 beds · 2 baths,25910773,Chelsea,,Dromana,-38.30417,145.00406,Entire home/apt,528,2,342,2023-02-11,3.40,1,57,15,,Mornington Peninsula
5041134,Townhouse in Mornington · ★4.73 · 1 bedroom · 2 beds · 1.5 shared baths,6188304,Paul,,Mornington - West,-38.22756,145.02888,Private room,165,2,11,2023-04-09,0.11,1,91,1,,Mornington Peninsula
5042889,Home in Blairgowrie · ★4.75 · 3 bedrooms · 7 beds · 2.5 baths,25195830,Mary,,Point Nepean,-38.37276,144.7709,Entire home/apt,378,2,4,2022-08-26,0.28,1,345,1,,Mornington Peninsula
5058293,Farm stay in Dromana · ★4.77 · 1 bedroom · 2 beds · 1 private bath,26117614,Debra,,Dromana,-38.33287,145.00221,Private room,110,2,557,2023-06-05,5.58,2,334,50,,Mornington Peninsula
5060776,Guesthouse in Dromana · ★4.87 · 3 bedrooms · 6 beds · 2 baths,16516624,Lucia,,Dromana,-38.33901,144.95416,Entire home/apt,264,2,45,2022-12-11,0.47,1,265,2,,Mornington Peninsula
5063981,Home in Sorrento · ★4.77 · 5 bedrooms · 8 beds · 3 baths,26149499,Rachael,,Point Nepean,-38.33882,144.72888,Entire home/apt,830,2,32,2023-04-25,0.32,1,263,2,,Mornington Peninsula
5096403,Home in Rye · 3 bedrooms · 6 beds · 1.5 baths,19651646,Erin,,Point Nepean,-38.36934,144.80248,Entire home/apt,600,4,1,2023-01-06,0.19,2,111,1,,Mornington Peninsula
5186303,Home in Saint Andrews Beach · 4 bedrooms · 7 beds · 3 baths,26827437,Adam,,Point Nepean,-38.41517,144.8288,Entire home/apt,1640,7,0,,,3,89,0,,Mornington Peninsula
5196024,Home in Rye · ★4.63 · 5 bedrooms · 4 beds · 2 baths,21146240,Getaway PM,,Point Nepean,-38.38347,144.83956,Entire home/apt,295,2,8,2022-04-18,0.08,48,324,0,,Mornington Peninsula
5197180,Home in Rosebud · ★4.87 · 4 bedrooms · 9 beds · 3 baths,26886567,Di,,Rosebud - McCrae,-38.36149,144.91592,Entire home/apt,393,1,280,2023-05-07,2.76,1,359,27,,Mornington Peninsula
5220733,Place to stay in Mount Martha · ★4.83 · 2 bedrooms · 3 beds · 1 bath,26929840,Peter,,Mount Martha,-38.26066,145.03823,Entire home/apt,265,2,114,2023-04-24,1.13,1,179,12,,Mornington Peninsula
5222313,Home in Sorrento · ★4.62 · 3 bedrooms · 5 beds · 1 bath,24470586,Susan,,Point Nepean,-38.34559,144.73869,Entire home/apt,364,2,53,2023-04-03,0.53,1,300,9,,Mornington Peninsula
5222873,Bed and breakfast in Boneo · ★4.91 · 3 bedrooms · 6 beds · 1 bath,24295679,Fiona,,Flinders,-38.42704,144.91599,Entire home/apt,300,2,45,2023-03-12,0.45,1,321,9,,Mornington Peninsula
5261600,Home in Blairgowrie · ★4.84 · 4 bedrooms · 4 beds · 2 baths,27233947,Daniella,,Point Nepean,-38.37101,144.78136,Entire home/apt,327,1,229,2023-05-27,2.29,1,348,15,,Mornington Peninsula
5271996,Home in Rye · ★4.79 · 4 bedrooms · 6 beds · 2 baths,22524507,Loretta,,Point Nepean,-38.3783,144.82385,Entire home/apt,270,2,87,2023-04-27,0.96,8,171,10,,Mornington Peninsula
5307527,Home in Mornington · ★4.67 · 3 bedrooms · 4 beds · 3 baths,27490709,Kathie,,Mornington - West,-38.21582,145.03505,Entire home/apt,490,2,44,2023-04-10,0.60,1,333,13,,Mornington Peninsula
5329896,Guest suite in McCrae · ★4.88 · 1 bedroom · 1 bed · 1 bath,27343790,Judy,,Rosebud - McCrae,-38.36412,144.92691,Entire home/apt,99,2,290,2023-05-13,3.20,1,0,29,,Mornington Peninsula
5468956,Home in Mount Martha · ★4.89 · 4 bedrooms · 8 beds · 3 baths,28364564,Mark And Louise,,Mount Martha,-38.27694,145.01714,Entire home/apt,350,2,54,2023-04-16,0.54,1,289,7,,Mornington Peninsula
5474278,Home in McCrae · 3 bedrooms · 3 beds · 2 baths,28391146,Jenny,,Rosebud - McCrae,-38.35877,144.92499,Entire home/apt,350,7,1,2018-01-27,0.02,1,179,0,,Mornington Peninsula
5481933,Home in Sorrento · 3 bedrooms · 3 beds · 2.5 baths,28430141,Amanda,,Point Nepean,-38.33478,144.72811,Entire home/apt,1000,3,0,,,1,358,0,,Mornington Peninsula
5553761,Rental unit in Arthurs Seat · ★4.97 · 1 bedroom · 1 bed · 1 bath,21979895,Loretta,,Dromana,-38.35183,144.95384,Entire home/apt,351,1,96,2023-05-20,0.99,1,179,23,,Mornington Peninsula
5572044,Home in Mornington · ★4.92 · 3 bedrooms · 3 beds · 2 baths,28888684,Steve,,Mornington - East,-38.23246,145.04706,Entire home/apt,200,6,13,2023-01-25,0.49,1,162,6,,Mornington Peninsula
5584425,Home in Rye · ★4.93 · 3 bedrooms · 5 beds · 2 baths,26027984,Michelle,,Point Nepean,-38.37448,144.83068,Entire home/apt,300,2,14,2022-09-26,0.15,13,357,2,,Mornington Peninsula
5641477,Guesthouse in Mount Martha · ★4.95 · 1 bedroom · 1 bed · 1 bath,15632160,Shushana,,Mount Martha,-38.28012,145.00247,Entire home/apt,154,2,376,2023-04-29,3.77,1,192,88,,Mornington Peninsula
5651154,Farm stay in Dromana · ★4.79 · 1 bedroom · 2 beds · 1 private bath,26117614,Debra,,Dromana,-38.33448,145.00059,Private room,150,2,431,2023-04-14,4.32,2,294,21,,Mornington Peninsula
